Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0805_2012Metric",259.255500,-57.404000,180.000000,bottom
"C2","0.1uF","C_0805_2012Metric",277.018750,-46.831250,270.000000,bottom
"C3","22pF","C_0805_2012Metric",282.718750,-53.181250,0.000000,bottom
"C4","22pF","C_0805_2012Metric",282.575000,-46.863000,180.000000,bottom
"C5","1uF","C_0805_2012Metric",268.351000,-40.386000,90.000000,bottom
"C6","0.1uF","C_0805_2012Metric",271.780000,-60.198000,0.000000,bottom
"C7","10uF","C_0805_2012Metric",262.731250,-39.687500,180.000000,bottom
"D1","SOD-123","D_SOD-123",11.906250,-23.018750,90.000000,bottom
"D2","SOD-123","D_SOD-123",30.956250,-23.018750,90.000000,bottom
"D3","SOD-123","D_SOD-123",50.006250,-23.018750,90.000000,bottom
"D4","SOD-123","D_SOD-123",69.056250,-23.018750,90.000000,bottom
"D5","SOD-123","D_SOD-123",88.106250,-23.018750,90.000000,bottom
"D6","SOD-123","D_SOD-123",107.156250,-23.018750,90.000000,bottom
"D7","SOD-123","D_SOD-123",126.206250,-23.018750,90.000000,bottom
"D8","SOD-123","D_SOD-123",145.256250,-23.018750,90.000000,bottom
"D9","SOD-123","D_SOD-123",164.306250,-23.018750,90.000000,bottom
"D10","SOD-123","D_SOD-123",183.356250,-23.018750,90.000000,bottom
"D11","SOD-123","D_SOD-123",202.406250,-23.018750,90.000000,bottom
"D12","SOD-123","D_SOD-123",221.456250,-23.018750,90.000000,bottom
"D13","SOD-123","D_SOD-123",240.506250,-23.018750,90.000000,bottom
"D14","SOD-123","D_SOD-123",269.081250,-23.018750,90.000000,bottom
"D15","SOD-123","D_SOD-123",281.781250,-23.018750,90.000000,bottom
"D16","SOD-123","D_SOD-123",11.906250,-42.068750,90.000000,bottom
"D17","SOD-123","D_SOD-123",30.956250,-42.068750,90.000000,bottom
"D18","SOD-123","D_SOD-123",50.006250,-42.068750,90.000000,bottom
"D19","SOD-123","D_SOD-123",69.056250,-42.068750,90.000000,bottom
"D20","SOD-123","D_SOD-123",88.106250,-42.068750,90.000000,bottom
"D21","SOD-123","D_SOD-123",107.156250,-42.068750,90.000000,bottom
"D22","SOD-123","D_SOD-123",126.206250,-42.068750,90.000000,bottom
"D23","SOD-123","D_SOD-123",145.256250,-42.068750,90.000000,bottom
"D24","SOD-123","D_SOD-123",164.306250,-42.068750,90.000000,bottom
"D25","SOD-123","D_SOD-123",183.356250,-42.068750,90.000000,bottom
"D26","SOD-123","D_SOD-123",202.406250,-42.068750,90.000000,bottom
"D27","SOD-123","D_SOD-123",221.456250,-42.068750,90.000000,bottom
"D28","SOD-123","D_SOD-123",240.506250,-42.068750,90.000000,bottom
"D29","SOD-123","D_SOD-123",243.681250,-42.068750,90.000000,bottom
"D30","SOD-123","D_SOD-123",292.893750,-42.068750,90.000000,bottom
"D31","SOD-123","D_SOD-123",11.906250,-61.118750,90.000000,bottom
"D32","SOD-123","D_SOD-123",30.956250,-61.118750,90.000000,bottom
"D33","SOD-123","D_SOD-123",50.006250,-61.118750,90.000000,bottom
"D34","SOD-123","D_SOD-123",69.056250,-61.118750,90.000000,bottom
"D35","SOD-123","D_SOD-123",88.106250,-61.118750,90.000000,bottom
"D36","SOD-123","D_SOD-123",107.156250,-61.118750,90.000000,bottom
"D37","SOD-123","D_SOD-123",126.206250,-61.118750,90.000000,bottom
"D38","SOD-123","D_SOD-123",145.256250,-61.118750,90.000000,bottom
"D39","SOD-123","D_SOD-123",164.306250,-61.118750,90.000000,bottom
"D40","SOD-123","D_SOD-123",183.356250,-61.118750,90.000000,bottom
"D41","SOD-123","D_SOD-123",202.406250,-61.118750,90.000000,bottom
"D42","SOD-123","D_SOD-123",221.456250,-61.118750,90.000000,bottom
"D43","SOD-123","D_SOD-123",252.412500,-61.118750,90.000000,bottom
"D44","SOD-123","D_SOD-123",290.512500,-61.118750,90.000000,bottom
"D45","SOD-123","D_SOD-123",11.906250,-80.168750,90.000000,bottom
"D46","SOD-123","D_SOD-123",30.956250,-80.168750,90.000000,bottom
"D47","SOD-123","D_SOD-123",50.006250,-80.168750,90.000000,bottom
"D48","SOD-123","D_SOD-123",69.056250,-80.168750,90.000000,bottom
"D49","SOD-123","D_SOD-123",88.106250,-80.168750,90.000000,bottom
"D50","SOD-123","D_SOD-123",107.156250,-80.168750,90.000000,bottom
"D51","SOD-123","D_SOD-123",126.206250,-80.168750,90.000000,bottom
"D52","SOD-123","D_SOD-123",145.256250,-80.168750,90.000000,bottom
"D53","SOD-123","D_SOD-123",164.306250,-80.168750,90.000000,bottom
"D54","SOD-123","D_SOD-123",183.356250,-80.168750,90.000000,bottom
"D55","SOD-123","D_SOD-123",202.406250,-80.168750,90.000000,bottom
"D56","SOD-123","D_SOD-123",221.456250,-80.168750,90.000000,bottom
"D57","SOD-123","D_SOD-123",250.031250,-80.168750,90.000000,bottom
"D58","SOD-123","D_SOD-123",278.606250,-80.168750,90.000000,bottom
"D59","SOD-123","D_SOD-123",281.781250,-80.168750,90.000000,bottom
"D60","SOD-123","D_SOD-123",11.906250,-99.218750,90.000000,bottom
"D61","SOD-123","D_SOD-123",30.956250,-99.218750,90.000000,bottom
"D62","SOD-123","D_SOD-123",50.006250,-99.218750,90.000000,bottom
"D63","SOD-123","D_SOD-123",69.056250,-99.218750,90.000000,bottom
"D64","SOD-123","D_SOD-123",88.106250,-99.218750,90.000000,bottom
"D65","SOD-123","D_SOD-123",116.681250,-99.218750,90.000000,bottom
